Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Total; Estimate; Less than high school graduate,Total; Estimate; High school graduate (includes equivalency),Total; Estimate; Some college or associate's degree,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Total; Estimate; Less than 9th grade,"Total; Estimate; 9th to 12th grade, no diploma",Total; Estimate; High school graduate (includes equivalency),"Total; Estimate; Some college, no degree",Total; Estimate; Associate's degree,Total; Estimate; Bachelor's degree,Total; Estimate; Graduate or professional degree,Total; Estimate; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Estimate; Population 25 to 34 years,Total; Estimate; High school graduate or higher,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 35 to 44 years,Total; Estimate; High school graduate or higher,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 45 to 64 years,Total; Estimate; High school graduate or higher,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 65 years and over,Total; Estimate; High school graduate or higher,Total; Estimate; Bachelor's degree or higher
1400000US42101038800,42101038800,"Census Tract 388, Philadelphia County, Pennsylvania",196,6.1,45.4,48.5,0,2687,1.1,6.6,15.9,8.2,5,21.3,41.8,92.3,63.1,519,100,70.5,511,100,76.9,1078,92.6,67.1,579,78.1,37
1400000US42101038900,42101038900,"Census Tract 389, Philadelphia County, Pennsylvania",173,14.5,70.5,0,15,2511,7.3,14.5,32,26.5,1.3,12.6,5.8,78.2,18.4,454,85.7,10.6,413,86.2,2.4,1033,81.9,22.5,611,60.9,28.3
1400000US42101039000,42101039000,"Census Tract 390, Philadelphia County, Pennsylvania",648,30.1,28.2,39.5,2.2,4287,6,18.8,38.2,19.2,4.4,9.9,3.4,75.2,13.4,1296,81.9,20.1,1089,76.5,10.3,1454,71.5,9,448,64.7,15.6
1400000US42101980000,42101980000,"Census Tract 9800, Philadelphia County, Pennsylvania",503,0,12.3,87.7,0,137,0,0,8.8,35,0,50.4,5.8,100,56.2,68,100,80.9,0,-,-,69,100,31.9,0,-,-
1400000US42101980100,42101980100,"Census Tract 9801, Philadelphia County, Pennsylvania",0,-,-,-,-,48,16.7,0,22.9,22.9,0,0,37.5,83.3,37.5,0,-,-,0,-,-,40,100,45,8,0,0
1400000US42101980200,42101980200,"Census Tract 9802, Philadelphia County, Pennsylvania",24,0,0,54.2,45.8,360,3.3,3.1,31.1,6.4,3.9,18.9,33.3,93.6,52.2,0,-,-,0,-,-,58,100,53.4,302,92.4,52
1400000US42101980300,42101980300,"Census Tract 9803, Philadelphia County, Pennsylvania",0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,0,-,-
1400000US42101980400,42101980400,"Census Tract 9804, Philadelphia County, Pennsylvania",0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,0,-,-
1400000US42101980500,42101980500,"Census Tract 9805, Philadelphia County, Pennsylvania",0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,0,-,-
1400000US42101980600,42101980600,"Census Tract 9806, Philadelphia County, Pennsylvania",47,0,17,0,83,45,0,37.8,22.2,20,0,20,0,62.2,20,0,-,-,0,-,-,28,100,32.1,17,0,0
1400000US42101980700,42101980700,"Census Tract 9807, Philadelphia County, Pennsylvania",0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,0,-,-
1400000US42101980800,42101980800,"Census Tract 9808, Philadelphia County, Pennsylvania",0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,0,-,-
1400000US42101980900,42101980900,"Census Tract 9809, Philadelphia County, Pennsylvania",0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,0,-,-
1400000US42101989100,42101989100,"Census Tract 9891, Philadelphia County, Pennsylvania",2276,53.5,41.7,4.6,0.2,5114,5.3,33.7,42.4,14.3,2.8,1.4,0.1,61,1.6,2415,66.9,0.4,1521,58.3,1.7,1115,53.3,3.4,63,34.9,11.1
